technology_mode,year,published,pollutant,operational_sector_count,characteristic_sector_count,associated_sector_count,accounting_mode
frozen,2020,1,TP,0,12,12,qualitative_association
frozen,2020,1,BOD,0,17,17,qualitative_association
frozen,2020,1,COD,0,31,31,qualitative_association
frozen,2020,1,TSS,0,30,30,qualitative_association
frozen,2020,1,OIL,4,28,32,qualitative_association
frozen,2020,1,TDS,0,8,8,qualitative_association
frozen,2020,1,PATH,0,11,11,qualitative_association
frozen,2020,1,THERM,0,1,1,qualitative_association
frozen,2020,1,PEST,0,6,6,qualitative_association
frozen,2020,1,SILICA,0,4,4,qualitative_association
frozen,2020,1,ASBEST,0,3,3,qualitative_association
frozen,2020,1,PHARMA,0,3,3,qualitative_association
frozen,2021,1,CO2,52,14,66,qualitative_association
frozen,2021,1,CH4,0,7,7,qualitative_association
frozen,2021,1,N2O,0,5,5,qualitative_association
frozen,2021,1,FGAS,23,16,39,qualitative_association
frozen,2021,1,PM25,35,31,66,qualitative_association
frozen,2021,1,PM10,4,30,34,qualitative_association
frozen,2021,1,NOX,51,15,66,qualitative_association
frozen,2021,1,SO2,4,13,17,qualitative_association
frozen,2021,1,CO,52,14,66,qualitative_association
frozen,2021,1,VOC,13,41,54,qualitative_association
frozen,2021,1,NH3_AIR,0,4,4,qualitative_association
frozen,2021,1,H2S,0,5,5,qualitative_association
frozen,2021,1,BENZ,1,9,10,qualitative_association
frozen,2021,1,TXYL,0,12,12,qualitative_association
frozen,2021,1,MEOH,0,6,6,qualitative_association
frozen,2021,1,FORM,0,16,16,qualitative_association
frozen,2021,1,STYR,0,6,6,qualitative_association
frozen,2021,1,ETO,0,4,4,qualitative_association
frozen,2021,1,PHEN,0,3,3,qualitative_association
frozen,2021,1,CYAN,0,5,5,qualitative_association
frozen,2021,1,CL2,0,4,4,qualitative_association
frozen,2021,1,HCL,0,8,8,qualitative_association
frozen,2021,1,H2SO4,0,8,8,qualitative_association
frozen,2021,1,HF,0,5,5,qualitative_association
frozen,2021,1,DIOX,0,5,5,qualitative_association
frozen,2021,1,PFAS,0,12,12,qualitative_association
frozen,2021,1,CHL_SOLV,0,17,17,qualitative_association
frozen,2021,1,PB,0,23,23,qualitative_association
frozen,2021,1,HG,0,10,10,qualitative_association
frozen,2021,1,AS,0,8,8,qualitative_association
frozen,2021,1,CD,0,8,8,qualitative_association
frozen,2021,1,CR,0,18,18,qualitative_association
frozen,2021,1,NI,0,15,15,qualitative_association
frozen,2021,1,MN,0,9,9,qualitative_association
frozen,2021,1,CU,0,15,15,qualitative_association
frozen,2021,1,ZN,0,13,13,qualitative_association
frozen,2021,1,SE,0,5,5,qualitative_association
frozen,2021,1,COB,0,7,7,qualitative_association
frozen,2021,1,SB,0,3,3,qualitative_association
frozen,2021,1,BE,0,3,3,qualitative_association
frozen,2021,1,TN,0,12,12,qualitative_association
frozen,2021,1,NO3,0,4,4,qualitative_association
frozen,2021,1,NH3_W,0,2,2,qualitative_association
frozen,2021,1,TP,0,12,12,qualitative_association
frozen,2021,1,BOD,0,17,17,qualitative_association
frozen,2021,1,COD,0,31,31,qualitative_association
frozen,2021,1,TSS,0,30,30,qualitative_association
frozen,2021,1,OIL,4,28,32,qualitative_association
frozen,2021,1,TDS,0,8,8,qualitative_association
frozen,2021,1,PATH,0,11,11,qualitative_association
frozen,2021,1,THERM,0,1,1,qualitative_association
frozen,2021,1,PEST,0,6,6,qualitative_association
frozen,2021,1,SILICA,0,4,4,qualitative_association
frozen,2021,1,ASBEST,0,3,3,qualitative_association
frozen,2021,1,PHARMA,0,3,3,qualitative_association
frozen,2022,1,CO2,52,14,66,qualitative_association
frozen,2022,1,CH4,0,7,7,qualitative_association
frozen,2022,1,N2O,0,5,5,qualitative_association
frozen,2022,1,FGAS,23,16,39,qualitative_association
frozen,2022,1,PM25,35,31,66,qualitative_association
frozen,2022,1,PM10,4,30,34,qualitative_association
frozen,2022,1,NOX,51,15,66,qualitative_association
frozen,2022,1,SO2,4,13,17,qualitative_association
frozen,2022,1,CO,52,14,66,qualitative_association
frozen,2022,1,VOC,13,41,54,qualitative_association
frozen,2022,1,NH3_AIR,0,4,4,qualitative_association
frozen,2022,1,H2S,0,5,5,qualitative_association
frozen,2022,1,BENZ,1,9,10,qualitative_association
frozen,2022,1,TXYL,0,12,12,qualitative_association
frozen,2022,1,MEOH,0,6,6,qualitative_association
frozen,2022,1,FORM,0,16,16,qualitative_association
frozen,2022,1,STYR,0,6,6,qualitative_association
frozen,2022,1,ETO,0,4,4,qualitative_association
frozen,2022,1,PHEN,0,3,3,qualitative_association
frozen,2022,1,CYAN,0,5,5,qualitative_association
frozen,2022,1,CL2,0,4,4,qualitative_association
frozen,2022,1,HCL,0,8,8,qualitative_association
frozen,2022,1,H2SO4,0,8,8,qualitative_association
frozen,2022,1,HF,0,5,5,qualitative_association
frozen,2022,1,DIOX,0,5,5,qualitative_association
frozen,2022,1,PFAS,0,12,12,qualitative_association
frozen,2022,1,CHL_SOLV,0,17,17,qualitative_association
frozen,2022,1,PB,0,23,23,qualitative_association
frozen,2022,1,HG,0,10,10,qualitative_association
frozen,2022,1,AS,0,8,8,qualitative_association
frozen,2022,1,CD,0,8,8,qualitative_association
frozen,2022,1,CR,0,18,18,qualitative_association
frozen,2022,1,NI,0,15,15,qualitative_association
frozen,2022,1,MN,0,9,9,qualitative_association
frozen,2022,1,CU,0,15,15,qualitative_association
frozen,2022,1,ZN,0,13,13,qualitative_association
frozen,2022,1,SE,0,5,5,qualitative_association
frozen,2022,1,COB,0,7,7,qualitative_association
frozen,2022,1,SB,0,3,3,qualitative_association
frozen,2022,1,BE,0,3,3,qualitative_association
frozen,2022,1,TN,0,12,12,qualitative_association
frozen,2022,1,NO3,0,4,4,qualitative_association
frozen,2022,1,NH3_W,0,2,2,qualitative_association
frozen,2022,1,TP,0,12,12,qualitative_association
frozen,2022,1,BOD,0,17,17,qualitative_association
frozen,2022,1,COD,0,31,31,qualitative_association
frozen,2022,1,TSS,0,30,30,qualitative_association
frozen,2022,1,OIL,4,28,32,qualitative_association
frozen,2022,1,TDS,0,8,8,qualitative_association
frozen,2022,1,PATH,0,11,11,qualitative_association
frozen,2022,1,THERM,0,1,1,qualitative_association
frozen,2022,1,PEST,0,6,6,qualitative_association
frozen,2022,1,SILICA,0,4,4,qualitative_association
frozen,2022,1,ASBEST,0,3,3,qualitative_association
frozen,2022,1,PHARMA,0,3,3,qualitative_association
frozen,2023,1,CO2,52,14,66,qualitative_association
frozen,2023,1,CH4,0,7,7,qualitative_association
frozen,2023,1,N2O,0,5,5,qualitative_association
frozen,2023,1,FGAS,23,16,39,qualitative_association
frozen,2023,1,PM25,35,31,66,qualitative_association
frozen,2023,1,PM10,4,30,34,qualitative_association
frozen,2023,1,NOX,51,15,66,qualitative_association
frozen,2023,1,SO2,4,13,17,qualitative_association
frozen,2023,1,CO,52,14,66,qualitative_association
frozen,2023,1,VOC,13,41,54,qualitative_association
frozen,2023,1,NH3_AIR,0,4,4,qualitative_association
frozen,2023,1,H2S,0,5,5,qualitative_association
frozen,2023,1,BENZ,1,9,10,qualitative_association
frozen,2023,1,TXYL,0,12,12,qualitative_association
frozen,2023,1,MEOH,0,6,6,qualitative_association
frozen,2023,1,FORM,0,16,16,qualitative_association
frozen,2023,1,STYR,0,6,6,qualitative_association
frozen,2023,1,ETO,0,4,4,qualitative_association
frozen,2023,1,PHEN,0,3,3,qualitative_association
frozen,2023,1,CYAN,0,5,5,qualitative_association
frozen,2023,1,CL2,0,4,4,qualitative_association
frozen,2023,1,HCL,0,8,8,qualitative_association
frozen,2023,1,H2SO4,0,8,8,qualitative_association
frozen,2023,1,HF,0,5,5,qualitative_association
frozen,2023,1,DIOX,0,5,5,qualitative_association
frozen,2023,1,PFAS,0,12,12,qualitative_association
frozen,2023,1,CHL_SOLV,0,17,17,qualitative_association
frozen,2023,1,PB,0,23,23,qualitative_association
frozen,2023,1,HG,0,10,10,qualitative_association
frozen,2023,1,AS,0,8,8,qualitative_association
frozen,2023,1,CD,0,8,8,qualitative_association
frozen,2023,1,CR,0,18,18,qualitative_association
frozen,2023,1,NI,0,15,15,qualitative_association
frozen,2023,1,MN,0,9,9,qualitative_association
frozen,2023,1,CU,0,15,15,qualitative_association
frozen,2023,1,ZN,0,13,13,qualitative_association
frozen,2023,1,SE,0,5,5,qualitative_association
frozen,2023,1,COB,0,7,7,qualitative_association
frozen,2023,1,SB,0,3,3,qualitative_association
frozen,2023,1,BE,0,3,3,qualitative_association
frozen,2023,1,TN,0,12,12,qualitative_association
frozen,2023,1,NO3,0,4,4,qualitative_association
frozen,2023,1,NH3_W,0,2,2,qualitative_association
frozen,2023,1,TP,0,12,12,qualitative_association
frozen,2023,1,BOD,0,17,17,qualitative_association
frozen,2023,1,COD,0,31,31,qualitative_association
frozen,2023,1,TSS,0,30,30,qualitative_association
frozen,2023,1,OIL,4,28,32,qualitative_association
frozen,2023,1,TDS,0,8,8,qualitative_association
frozen,2023,1,PATH,0,11,11,qualitative_association
frozen,2023,1,THERM,0,1,1,qualitative_association
frozen,2023,1,PEST,0,6,6,qualitative_association
frozen,2023,1,SILICA,0,4,4,qualitative_association
frozen,2023,1,ASBEST,0,3,3,qualitative_association
frozen,2023,1,PHARMA,0,3,3,qualitative_association
frozen,2024,0,CO2,52,14,66,qualitative_association
frozen,2024,0,CH4,0,7,7,qualitative_association
frozen,2024,0,N2O,0,5,5,qualitative_association
frozen,2024,0,FGAS,23,16,39,qualitative_association
frozen,2024,0,PM25,35,31,66,qualitative_association
frozen,2024,0,PM10,4,30,34,qualitative_association
frozen,2024,0,NOX,51,15,66,qualitative_association
frozen,2024,0,SO2,4,13,17,qualitative_association
frozen,2024,0,CO,52,14,66,qualitative_association
frozen,2024,0,VOC,13,41,54,qualitative_association
frozen,2024,0,NH3_AIR,0,4,4,qualitative_association
frozen,2024,0,H2S,0,5,5,qualitative_association
frozen,2024,0,BENZ,1,9,10,qualitative_association
frozen,2024,0,TXYL,0,12,12,qualitative_association
frozen,2024,0,MEOH,0,6,6,qualitative_association
frozen,2024,0,FORM,0,16,16,qualitative_association
frozen,2024,0,STYR,0,6,6,qualitative_association
frozen,2024,0,ETO,0,4,4,qualitative_association
frozen,2024,0,PHEN,0,3,3,qualitative_association
frozen,2024,0,CYAN,0,5,5,qualitative_association
frozen,2024,0,CL2,0,4,4,qualitative_association
frozen,2024,0,HCL,0,8,8,qualitative_association
frozen,2024,0,H2SO4,0,8,8,qualitative_association
frozen,2024,0,HF,0,5,5,qualitative_association
frozen,2024,0,DIOX,0,5,5,qualitative_association
frozen,2024,0,PFAS,0,12,12,qualitative_association
frozen,2024,0,CHL_SOLV,0,17,17,qualitative_association
frozen,2024,0,PB,0,23,23,qualitative_association
frozen,2024,0,HG,0,10,10,qualitative_association
frozen,2024,0,AS,0,8,8,qualitative_association
frozen,2024,0,CD,0,8,8,qualitative_association
frozen,2024,0,CR,0,18,18,qualitative_association
frozen,2024,0,NI,0,15,15,qualitative_association
frozen,2024,0,MN,0,9,9,qualitative_association
frozen,2024,0,CU,0,15,15,qualitative_association
frozen,2024,0,ZN,0,13,13,qualitative_association
frozen,2024,0,SE,0,5,5,qualitative_association
frozen,2024,0,COB,0,7,7,qualitative_association
frozen,2024,0,SB,0,3,3,qualitative_association
frozen,2024,0,BE,0,3,3,qualitative_association
frozen,2024,0,TN,0,12,12,qualitative_association
frozen,2024,0,NO3,0,4,4,qualitative_association
frozen,2024,0,NH3_W,0,2,2,qualitative_association
frozen,2024,0,TP,0,12,12,qualitative_association
frozen,2024,0,BOD,0,17,17,qualitative_association
frozen,2024,0,COD,0,31,31,qualitative_association
frozen,2024,0,TSS,0,30,30,qualitative_association
frozen,2024,0,OIL,4,28,32,qualitative_association
frozen,2024,0,TDS,0,8,8,qualitative_association
frozen,2024,0,PATH,0,11,11,qualitative_association
frozen,2024,0,THERM,0,1,1,qualitative_association
frozen,2024,0,PEST,0,6,6,qualitative_association
frozen,2024,0,SILICA,0,4,4,qualitative_association
frozen,2024,0,ASBEST,0,3,3,qualitative_association
frozen,2024,0,PHARMA,0,3,3,qualitative_association
frozen,2025,0,CO2,52,14,66,qualitative_association
frozen,2025,0,CH4,0,7,7,qualitative_association
frozen,2025,0,N2O,0,5,5,qualitative_association
frozen,2025,0,FGAS,23,16,39,qualitative_association
frozen,2025,0,PM25,35,31,66,qualitative_association
frozen,2025,0,PM10,4,30,34,qualitative_association
frozen,2025,0,NOX,51,15,66,qualitative_association
frozen,2025,0,SO2,4,13,17,qualitative_association
frozen,2025,0,CO,52,14,66,qualitative_association
frozen,2025,0,VOC,13,41,54,qualitative_association
frozen,2025,0,NH3_AIR,0,4,4,qualitative_association
frozen,2025,0,H2S,0,5,5,qualitative_association
frozen,2025,0,BENZ,1,9,10,qualitative_association
frozen,2025,0,TXYL,0,12,12,qualitative_association
frozen,2025,0,MEOH,0,6,6,qualitative_association
frozen,2025,0,FORM,0,16,16,qualitative_association
frozen,2025,0,STYR,0,6,6,qualitative_association
frozen,2025,0,ETO,0,4,4,qualitative_association
frozen,2025,0,PHEN,0,3,3,qualitative_association
frozen,2025,0,CYAN,0,5,5,qualitative_association
frozen,2025,0,CL2,0,4,4,qualitative_association
frozen,2025,0,HCL,0,8,8,qualitative_association
frozen,2025,0,H2SO4,0,8,8,qualitative_association
frozen,2025,0,HF,0,5,5,qualitative_association
frozen,2025,0,DIOX,0,5,5,qualitative_association
frozen,2025,0,PFAS,0,12,12,qualitative_association
frozen,2025,0,CHL_SOLV,0,17,17,qualitative_association
frozen,2025,0,PB,0,23,23,qualitative_association
frozen,2025,0,HG,0,10,10,qualitative_association
frozen,2025,0,AS,0,8,8,qualitative_association
frozen,2025,0,CD,0,8,8,qualitative_association
frozen,2025,0,CR,0,18,18,qualitative_association
frozen,2025,0,NI,0,15,15,qualitative_association
frozen,2025,0,MN,0,9,9,qualitative_association
frozen,2025,0,CU,0,15,15,qualitative_association
frozen,2025,0,ZN,0,13,13,qualitative_association
frozen,2025,0,SE,0,5,5,qualitative_association
frozen,2025,0,COB,0,7,7,qualitative_association
frozen,2025,0,SB,0,3,3,qualitative_association
frozen,2025,0,BE,0,3,3,qualitative_association
frozen,2025,0,TN,0,12,12,qualitative_association
frozen,2025,0,NO3,0,4,4,qualitative_association
frozen,2025,0,NH3_W,0,2,2,qualitative_association
frozen,2025,0,TP,0,12,12,qualitative_association
frozen,2025,0,BOD,0,17,17,qualitative_association
frozen,2025,0,COD,0,31,31,qualitative_association
frozen,2025,0,TSS,0,30,30,qualitative_association
frozen,2025,0,OIL,4,28,32,qualitative_association
frozen,2025,0,TDS,0,8,8,qualitative_association
frozen,2025,0,PATH,0,11,11,qualitative_association
frozen,2025,0,THERM,0,1,1,qualitative_association
frozen,2025,0,PEST,0,6,6,qualitative_association
frozen,2025,0,SILICA,0,4,4,qualitative_association
frozen,2025,0,ASBEST,0,3,3,qualitative_association
frozen,2025,0,PHARMA,0,3,3,qualitative_association
frozen,2026,0,CO2,52,14,66,qualitative_association
frozen,2026,0,CH4,0,7,7,qualitative_association
frozen,2026,0,N2O,0,5,5,qualitative_association
frozen,2026,0,FGAS,23,16,39,qualitative_association
frozen,2026,0,PM25,35,31,66,qualitative_association
frozen,2026,0,PM10,4,30,34,qualitative_association
frozen,2026,0,NOX,51,15,66,qualitative_association
frozen,2026,0,SO2,4,13,17,qualitative_association
frozen,2026,0,CO,52,14,66,qualitative_association
frozen,2026,0,VOC,13,41,54,qualitative_association
frozen,2026,0,NH3_AIR,0,4,4,qualitative_association
frozen,2026,0,H2S,0,5,5,qualitative_association
frozen,2026,0,BENZ,1,9,10,qualitative_association
frozen,2026,0,TXYL,0,12,12,qualitative_association
frozen,2026,0,MEOH,0,6,6,qualitative_association
frozen,2026,0,FORM,0,16,16,qualitative_association
frozen,2026,0,STYR,0,6,6,qualitative_association
frozen,2026,0,ETO,0,4,4,qualitative_association
frozen,2026,0,PHEN,0,3,3,qualitative_association
frozen,2026,0,CYAN,0,5,5,qualitative_association
frozen,2026,0,CL2,0,4,4,qualitative_association
frozen,2026,0,HCL,0,8,8,qualitative_association
frozen,2026,0,H2SO4,0,8,8,qualitative_association
frozen,2026,0,HF,0,5,5,qualitative_association
frozen,2026,0,DIOX,0,5,5,qualitative_association
frozen,2026,0,PFAS,0,12,12,qualitative_association
frozen,2026,0,CHL_SOLV,0,17,17,qualitative_association
frozen,2026,0,PB,0,23,23,qualitative_association
frozen,2026,0,HG,0,10,10,qualitative_association
frozen,2026,0,AS,0,8,8,qualitative_association
frozen,2026,0,CD,0,8,8,qualitative_association
frozen,2026,0,CR,0,18,18,qualitative_association
frozen,2026,0,NI,0,15,15,qualitative_association
frozen,2026,0,MN,0,9,9,qualitative_association
frozen,2026,0,CU,0,15,15,qualitative_association
frozen,2026,0,ZN,0,13,13,qualitative_association
frozen,2026,0,SE,0,5,5,qualitative_association
frozen,2026,0,COB,0,7,7,qualitative_association
frozen,2026,0,SB,0,3,3,qualitative_association
frozen,2026,0,BE,0,3,3,qualitative_association
frozen,2026,0,TN,0,12,12,qualitative_association
frozen,2026,0,NO3,0,4,4,qualitative_association
frozen,2026,0,NH3_W,0,2,2,qualitative_association
frozen,2026,0,TP,0,12,12,qualitative_association
frozen,2026,0,BOD,0,17,17,qualitative_association
frozen,2026,0,COD,0,31,31,qualitative_association
frozen,2026,0,TSS,0,30,30,qualitative_association
frozen,2026,0,OIL,4,28,32,qualitative_association
frozen,2026,0,TDS,0,8,8,qualitative_association
frozen,2026,0,PATH,0,11,11,qualitative_association
frozen,2026,0,THERM,0,1,1,qualitative_association
frozen,2026,0,PEST,0,6,6,qualitative_association
frozen,2026,0,SILICA,0,4,4,qualitative_association
frozen,2026,0,ASBEST,0,3,3,qualitative_association
frozen,2026,0,PHARMA,0,3,3,qualitative_association
historical,2019,1,CO2,52,14,66,qualitative_association
historical,2019,1,CH4,0,7,7,qualitative_association
historical,2019,1,N2O,0,5,5,qualitative_association
historical,2019,1,FGAS,23,16,39,qualitative_association
historical,2019,1,PM25,35,31,66,qualitative_association
historical,2019,1,PM10,4,30,34,qualitative_association
historical,2019,1,NOX,51,15,66,qualitative_association
historical,2019,1,SO2,4,13,17,qualitative_association
historical,2019,1,CO,52,14,66,qualitative_association
historical,2019,1,VOC,13,41,54,qualitative_association
historical,2019,1,NH3_AIR,0,4,4,qualitative_association
historical,2019,1,H2S,0,5,5,qualitative_association
historical,2019,1,BENZ,1,9,10,qualitative_association
historical,2019,1,TXYL,0,12,12,qualitative_association
historical,2019,1,MEOH,0,6,6,qualitative_association
historical,2019,1,FORM,0,16,16,qualitative_association
historical,2019,1,STYR,0,6,6,qualitative_association
historical,2019,1,ETO,0,4,4,qualitative_association
historical,2019,1,PHEN,0,3,3,qualitative_association
historical,2019,1,CYAN,0,5,5,qualitative_association
historical,2019,1,CL2,0,4,4,qualitative_association
historical,2019,1,HCL,0,8,8,qualitative_association
historical,2019,1,H2SO4,0,8,8,qualitative_association
historical,2019,1,HF,0,5,5,qualitative_association
historical,2019,1,DIOX,0,5,5,qualitative_association
historical,2019,1,PFAS,0,12,12,qualitative_association
historical,2019,1,CHL_SOLV,0,17,17,qualitative_association
historical,2019,1,PB,0,23,23,qualitative_association
historical,2019,1,HG,0,10,10,qualitative_association
historical,2019,1,AS,0,8,8,qualitative_association
historical,2019,1,CD,0,8,8,qualitative_association
historical,2019,1,CR,0,18,18,qualitative_association
historical,2019,1,NI,0,15,15,qualitative_association
historical,2019,1,MN,0,9,9,qualitative_association
historical,2019,1,CU,0,15,15,qualitative_association
historical,2019,1,ZN,0,13,13,qualitative_association
historical,2019,1,SE,0,5,5,qualitative_association
historical,2019,1,COB,0,7,7,qualitative_association
historical,2019,1,SB,0,3,3,qualitative_association
historical,2019,1,BE,0,3,3,qualitative_association
historical,2019,1,TN,0,12,12,qualitative_association
historical,2019,1,NO3,0,4,4,qualitative_association
historical,2019,1,NH3_W,0,2,2,qualitative_association
historical,2019,1,TP,0,12,12,qualitative_association
historical,2019,1,BOD,0,17,17,qualitative_association
historical,2019,1,COD,0,31,31,qualitative_association
historical,2019,1,TSS,0,30,30,qualitative_association
historical,2019,1,OIL,4,28,32,qualitative_association
historical,2019,1,TDS,0,8,8,qualitative_association
historical,2019,1,PATH,0,11,11,qualitative_association
historical,2019,1,THERM,0,1,1,qualitative_association
historical,2019,1,PEST,0,6,6,qualitative_association
historical,2019,1,SILICA,0,4,4,qualitative_association
historical,2019,1,ASBEST,0,3,3,qualitative_association
historical,2019,1,PHARMA,0,3,3,qualitative_association
historical,2020,1,CO2,52,14,66,qualitative_association
historical,2020,1,CH4,0,7,7,qualitative_association
historical,2020,1,N2O,0,5,5,qualitative_association
historical,2020,1,FGAS,23,16,39,qualitative_association
historical,2020,1,PM25,35,31,66,qualitative_association
historical,2020,1,PM10,4,30,34,qualitative_association
historical,2020,1,NOX,51,15,66,qualitative_association
historical,2020,1,SO2,4,13,17,qualitative_association
historical,2020,1,CO,52,14,66,qualitative_association
historical,2020,1,VOC,13,41,54,qualitative_association
historical,2020,1,NH3_AIR,0,4,4,qualitative_association
historical,2020,1,H2S,0,5,5,qualitative_association
historical,2020,1,BENZ,1,9,10,qualitative_association
historical,2020,1,TXYL,0,12,12,qualitative_association
historical,2020,1,MEOH,0,6,6,qualitative_association
historical,2020,1,FORM,0,16,16,qualitative_association
historical,2020,1,STYR,0,6,6,qualitative_association
historical,2020,1,ETO,0,4,4,qualitative_association
historical,2020,1,PHEN,0,3,3,qualitative_association
historical,2020,1,CYAN,0,5,5,qualitative_association
historical,2020,1,CL2,0,4,4,qualitative_association
historical,2020,1,HCL,0,8,8,qualitative_association
historical,2020,1,H2SO4,0,8,8,qualitative_association
historical,2020,1,HF,0,5,5,qualitative_association
historical,2020,1,DIOX,0,5,5,qualitative_association
historical,2020,1,PFAS,0,12,12,qualitative_association
historical,2020,1,CHL_SOLV,0,17,17,qualitative_association
historical,2020,1,PB,0,23,23,qualitative_association
historical,2020,1,HG,0,10,10,qualitative_association
historical,2020,1,AS,0,8,8,qualitative_association
historical,2020,1,CD,0,8,8,qualitative_association
historical,2020,1,CR,0,18,18,qualitative_association
historical,2020,1,NI,0,15,15,qualitative_association
historical,2020,1,MN,0,9,9,qualitative_association
historical,2020,1,CU,0,15,15,qualitative_association
historical,2020,1,ZN,0,13,13,qualitative_association
historical,2020,1,SE,0,5,5,qualitative_association
historical,2020,1,COB,0,7,7,qualitative_association
historical,2020,1,SB,0,3,3,qualitative_association
historical,2020,1,BE,0,3,3,qualitative_association
